question,answer
"Apa alamat rumah sakit ini?","Alamat rumah sakit kami adalah Jl. Jenderal Sudirman No. 123, Kota Jakarta."
"Apakah rumah sakit ini memiliki layanan gawat darurat?","Ya, kami memiliki layanan gawat darurat 24/7."
"Bagaimana saya bisa membuat janji temu dengan dokter?","Anda dapat membuat janji temu dengan dokter kami melalui situs web kami atau menghubungi pusat layanan pelanggan kami di nomor 123-456-789."
"Berapa biaya untuk konsultasi dokter umum?","Biaya konsultasi dokter umum kami adalah Rp 200.000."
"Apa jam operasional apotek di rumah sakit?","Apotek kami buka dari pukul 08.00 pagi hingga 10.00 malam setiap hari."
"Apakah rumah sakit ini menerima asuransi kesehatan?","Kami menerima berbagai jenis asuransi kesehatan. Silakan hubungi kami untuk informasi lebih lanjut."
"Apa saja spesialisasi dokter yang tersedia di rumah sakit ini?","Kami memiliki berbagai spesialisasi dokter, termasuk kardiologi, bedah umum, ortopedi, dan banyak lagi."
"Bagaimana saya bisa menghubungi departemen keuangan?","Anda dapat menghubungi departemen keuangan kami di nomor 987-654-321 atau mengirimkan email ke finance@example.com."
"Apakah ada fasilitas parkir di rumah sakit?","Ya, kami memiliki fasilitas parkir yang luas untuk pengunjung rumah sakit."
"Apakah rumah sakit ini memiliki kamar rawat inap?","Kami memiliki kamar rawat inap yang nyaman untuk pasien yang memerlukan perawatan lebih lanjut."
