question,answer
"Apa prosedur untuk melakukan pemesanan tiket penerbangan?","Untuk memesan tiket penerbangan, Anda dapat mengunjungi situs web kami di www.maskapai.com atau menghubungi pusat pemesanan kami di nomor 123-456-789."
"Kapan waktu check-in untuk penerbangan saya?","Waktu check-in biasanya dimulai 2 jam sebelum keberangkatan. Pastikan Anda tiba di bandara dengan waktu yang cukup untuk proses check-in."
"Apa kebijakan bagasi untuk penerbangan internasional?","Kebijakan bagasi kami berbeda-beda tergantung rute penerbangan dan jenis tiket. Anda dapat menemukan informasi lebih lanjut di situs web kami."
"Bagaimana cara mengganti jadwal penerbangan?","Anda dapat menghubungi layanan pelanggan kami untuk mengganti jadwal penerbangan Anda. Biaya dan ketersediaan tergantung pada jenis tiket Anda."
"Apa fasilitas yang tersedia di pesawat?","Pesawat kami dilengkapi dengan berbagai fasilitas seperti makanan dan minuman, hiburan di pesawat, serta kursi yang nyaman."
"Bagaimana saya bisa mendapatkan tiket promo?","Kami seringkali menawarkan tiket promo melalui situs web kami dan media sosial kami. Pastikan untuk memantau penawaran kami."
"Apa yang harus saya lakukan jika saya kehilangan barang di pesawat?","Jika Anda kehilangan barang di pesawat, segera hubungi petugas bandara atau layanan pelanggan kami untuk bantuan lebih lanjut."
"Apakah ada fasilitas khusus untuk penumpang dengan kebutuhan khusus?","Kami menyediakan fasilitas khusus untuk penumpang dengan kebutuhan khusus. Harap beri tahu kami saat memesan tiket Anda agar kami dapat memberikan pelayanan yang sesuai."
"Apa kebijakan refund untuk pembatalan tiket?","Kebijakan refund kami berbeda-beda tergantung pada jenis tiket Anda. Anda dapat menghubungi layanan pelanggan kami untuk informasi lebih lanjut."
"Bagaimana saya bisa memberikan umpan balik tentang pengalaman penerbangan saya?","Kami sangat menghargai umpan balik dari pelanggan kami. Anda dapat memberikan umpan balik melalui situs web kami atau mengirimkan email ke feedback@maskapai.com."
